Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
44205240,"Mar 13, 2013, 2:02:04 AM",Lunch run,Run,,2453,5.26,,false,,activities/44205240.gpx,85.0,,2453.0,2362.0,5268.6298828125,7.267129898071289,,73.57350158691406,,1.6300300359725952,27.815200805664062,57.29249954223633,0.1583389937877655,,,,,,,,,614.84619140625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,26110.0,,,,,,
91141729,"Oct 25, 2013, 2:06:20 AM","10/25/2013 South Brisbane, QLD, Australia",Run,"",3573,11.00,,false,,activities/99209627.fit.gz,85.0,,3573.0,3568.0,11007.7001953125,9.399999618530273,,140.41000366210938,,-0.4000000059604645,40.79999923706055,0.0,-0.009084549732506275,,,,,,,,,1192.7423095703125,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
91141734,"Oct 24, 2013, 2:08:33 AM","10/24/2013 South Brisbane, QLD, Australia",Run,"",1743,5.17,,false,,activities/99209630.fit.gz,82.0,,1743.0,1731.0,5178.60009765625,7.599999904632568,,36.0,,2.200000047683716,25.200000762939453,0.0,-0.09848219901323318,,,,,,,,,525.9745483398438,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141736,"Oct 23, 2013, 1:59:50 AM","10/23/2013 South Brisbane, QLD, Australia",Run,"",2099,6.61,,false,,activities/99209633.fit.gz,85.0,,2099.0,1984.0,6618.2001953125,6.199999809265137,,90.19999694824219,,2.0,31.200000762939453,0.0,0.0181317999958992,,,,,,,,,713.2057495117188,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
91141739,"Oct 22, 2013, 1:58:46 AM","10/22/2013 South Brisbane, QLD, Australia",Run,"",2552,7.44,,false,,activities/99209636.fit.gz,82.0,,2552.0,2395.0,7447.7998046875,7.400000095367432,,76.37999725341797,,0.0,29.100000381469727,0.0,-0.02148289978504181,,,,,,,,,767.7283935546875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141743,"Oct 21, 2013, 2:02:59 AM","10/21/2013 South Brisbane, QLD, Australia",Run,"",1776,5.38,,false,,activities/99209640.fit.gz,82.0,,1776.0,1776.0,5387.2998046875,6.300000190734863,,18.360000610351562,,2.0999999046325684,21.600000381469727,0.0,-0.01856219954788685,,,,,,,,,546.9006958007812,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141744,"Oct 19, 2013, 4:08:10 AM","10/19/2013 Brisbane, QLD, Australia",Run,"",613,2.13,,false,,activities/99209642.fit.gz,82.0,,613.0,613.0,2136.5,4.199999809265137,,0.0,,6.699999809265137,12.899999618530273,0.0,0.018722200766205788,,,,,,,,,216.13267517089844,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141746,"Oct 18, 2013, 11:35:06 PM","10/19/2013 Brisbane, QLD, Australia",Run,"",615,2.02,,false,,activities/99209643.fit.gz,82.0,,615.0,615.0,2022.699951171875,4.0,,0.0,,6.800000190734863,12.899999618530273,0.0,-0.00988776981830597,,,,,,,,,204.3950958251953,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141748,"Oct 16, 2013, 2:01:49 AM","10/16/2013 South Brisbane, QLD, Australia",Run,"",1391,4.27,,false,,activities/99209645.fit.gz,82.0,,1391.0,1391.0,4273.7001953125,4.0,,45.68000030517578,,3.0,25.5,0.0,-0.025738799944519997,,,,,,,,,438.9049072265625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141752,"Oct 15, 2013, 1:58:04 AM","10/15/2013 South Brisbane, QLD, Australia",Run,"",3602,10.67,,false,,activities/99209648.fit.gz,77.0,,3602.0,3486.0,10674.900390625,7.0,,105.23999786376953,,2.0,40.70000076293945,0.0,-0.006557439919561148,,,,,,,,,1037.352294921875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141753,"Oct 14, 2013, 2:06:58 AM","10/14/2013 South Brisbane, QLD, Australia",Run,"",2428,7.41,,false,,activities/99209650.fit.gz,82.0,,2428.0,2428.0,7411.0,6.599999904632568,,42.7400016784668,,2.0,25.399999618530273,0.0,-0.009445419535040855,,,,,,,,,754.9429931640625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141754,"Oct 11, 2013, 1:58:34 AM","10/11/2013 South Brisbane, QLD, Australia",Run,"",2009,6.13,,false,,activities/99209653.fit.gz,82.0,,2009.0,1882.0,6138.60009765625,4.599999904632568,,64.54000091552734,,0.800000011920929,28.700000762939453,0.0,0.1547580063343048,,,,,,,,,636.6806030273438,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141756,"Oct 7, 2013, 4:16:59 AM","10/07/2013 Brisbane, QLD, Australia",Run,"",1247,4.01,,false,,activities/99209654.fit.gz,82.0,,1247.0,1247.0,4011.300048828125,4.099999904632568,,0.0,,6.699999809265137,13.199999809265137,0.0,0.06980279833078384,,,,,,,,,406.8557434082031,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141758,"Oct 4, 2013, 2:15:34 AM","10/04/2013 South Brisbane, QLD, Australia",Run,"",1994,6.41,,false,,activities/99209658.fit.gz,82.0,,1994.0,1994.0,6413.89990234375,4.0,,71.77999877929688,,0.699999988079071,28.799999237060547,0.0,-0.014031999744474888,,,,,,,,,663.23876953125,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141760,"Oct 3, 2013, 1:57:51 AM","10/03/2013 South Brisbane, QLD, Australia",Run,"",2467,6.34,,false,,activities/99209661.fit.gz,82.0,,2467.0,2380.0,6346.5,5.599999904632568,,38.70000076293945,,0.699999988079071,27.200000762939453,0.0,-0.07090520113706589,,,,,,,,,648.8615112304688,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141763,"Oct 2, 2013, 2:26:44 AM","10/02/2013 South Brisbane, QLD, Australia",Run,"",2315,7.01,,false,,activities/99209663.fit.gz,82.0,,2315.0,2271.0,7012.5,8.5,,100.30000305175781,,0.6000000238418579,40.099998474121094,0.0,-0.2139039933681488,,,,,,,,,732.1227416992188,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91141765,"Oct 1, 2013, 1:56:13 AM","10/01/2013 South Brisbane, QLD, Australia",Run,"",1873,6.01,,false,,activities/99209668.fit.gz,82.0,,1873.0,1873.0,6012.10009765625,5.199999809265137,,64.04000091552734,,0.20000000298023224,27.700000762939453,0.0,0.21789400279521942,,,,,,,,,625.8497924804688,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
91760419,"Oct 28, 2013, 2:01:06 AM","10/28/2013 South Brisbane, QLD, Australia",Run,"",2386,7.04,,false,,activities/99908878.fit.gz,82.0,,2386.0,2285.0,7039.39990234375,5.599999904632568,,0.0,,,,0.0,0.0,,,,,,,,,709.23193359375,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
91920940,"Oct 29, 2013, 2:01:17 AM","10/29/2013 South Brisbane, QLD, Australia",Run,"",1803,5.45,,false,,activities/100087121.fit.gz,85.0,,1803.0,1799.0,5451.2998046875,8.899999618530273,,19.239999771118164,,1.600000023841858,22.0,0.0,-0.07521139830350876,,,,,,,,,572.9666748046875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
92114329,"Oct 30, 2013, 2:04:58 AM","10/30/2013 South Brisbane, QLD, Australia",Run,"",2754,7.01,,false,,activities/100300044.fit.gz,85.0,,2754.0,2276.0,7016.2998046875,5.5,,124.81800079345703,,2.0,38.20000076293945,0.0,-0.03848180174827576,,,,,,,,,765.4768676757812,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
93286865,"Nov 5, 2013, 1:59:54 AM","11/05/2013 South Brisbane, QLD, Australia",Run,"",1670,5.53,,false,,activities/101720179.fit.gz,85.0,,1670.0,1670.0,5532.89990234375,11.0,,18.219999313354492,,2.299999952316284,21.700000762939453,0.0,-0.04699160158634186,,,,,,,,,581.7185668945312,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
93471188,"Nov 6, 2013, 2:01:46 AM","11/06/2013 South Brisbane, QLD, Australia",Run,"",3393,10.76,,false,,activities/101924897.fit.gz,77.0,,3393.0,3298.0,10763.599609375,16.899999618530273,,89.38860321044922,,0.5,57.400001525878906,0.0,-0.026013599708676338,,,,,,,,,1042.5557861328125,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
93643881,"Nov 7, 2013, 1:55:07 AM","11/07/2013 South Brisbane, QLD, Australia",Run,"",1780,5.49,,false,,activities/102121925.fit.gz,85.0,,1780.0,1770.0,5489.2998046875,10.0,,18.639999389648438,,1.600000023841858,22.299999237060547,0.0,-0.04554310068488121,,,,,,,,,577.259033203125,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
93817969,"Nov 8, 2013, 2:04:58 AM","11/08/2013 South Brisbane, QLD, Australia",Run,"",2033,6.39,,false,,activities/102323861.fit.gz,85.0,,2033.0,2033.0,6389.89990234375,4.5,,68.33999633789062,,0.800000011920929,30.100000381469727,0.0,-0.01877960003912449,,,,,,,,,683.5558471679688,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
94612696,"Nov 12, 2013, 2:03:29 AM","11/12/2013 South Brisbane, QLD, Australia",Run,"",1727,5.36,,false,,activities/103235793.fit.gz,85.0,,1727.0,1727.0,5368.10009765625,6.0,,18.920000076293945,,1.899999976158142,21.799999237060547,0.0,-0.0074514299631118774,,,,,,,,,564.8831787109375,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
94791446,"Nov 13, 2013, 2:00:06 AM","11/13/2013 South Brisbane, QLD, Australia",Run,"",2181,6.81,,false,,activities/103451447.fit.gz,85.0,,2181.0,2178.0,6813.10009765625,8.0,,109.94000244140625,,0.699999988079071,40.0,0.0,-0.005871039815247059,,,,,,,,,739.555419921875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
95134906,"Nov 15, 2013, 1:58:01 AM","11/15/2013 South Brisbane, QLD, Australia",Run,"",1740,5.37,,false,,activities/103858825.fit.gz,85.0,,1740.0,1740.0,5377.2001953125,5.400000095367432,,17.979999542236328,,2.200000047683716,21.399999618530273,0.0,-0.01859699934720993,,,,,,,,,565.6246948242188,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
95927593,"Nov 19, 2013, 1:55:40 AM","11/19/2013 South Brisbane, QLD, Australia",Run,"",2011,6.42,,false,,activities/104766411.fit.gz,85.0,,2011.0,2011.0,6422.10009765625,5.300000190734863,,74.66000366210938,,2.0,29.899999618530273,0.0,-0.03892809897661209,,,,,,,,,687.7855834960938,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
95927599,"Nov 18, 2013, 1:57:34 AM","11/18/2013 South Brisbane, QLD, Australia Garmin FAIL",Run,"",1164,2.39,,false,,activities/104766415.fit.gz,85.0,,1164.0,651.0,2390.199951171875,5.800000190734863,,24.84000015258789,,3.0,21.200000762939453,0.0,-0.029286300763487816,,,,,,,,,251.91441345214844,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
96105264,"Nov 20, 2013, 1:57:09 AM","11/20/2013 South Brisbane, QLD, Australia",Run,"",2335,7.28,,false,,activities/104965307.fit.gz,82.0,,2335.0,2324.0,7282.2001953125,6.699999809265137,,44.560001373291016,,2.200000047683716,24.100000381469727,0.0,-0.002746419981122017,,,,,,,,,741.6538696289062,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
96410680,"Nov 22, 2013, 2:16:38 AM","11/22/2013 South Brisbane, QLD, Australia",Run,"",1557,4.01,,false,,activities/105294940.fit.gz,85.0,,1557.0,1551.0,4014.199951171875,9.5,,54.52000045776367,,2.200000047683716,25.100000381469727,0.0,0.02491159923374653,,,,,,,,,431.422119140625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
96957557,"Nov 25, 2013, 2:02:41 AM","11/25/2013 South Brisbane, QLD, Australia",Run,,2102,6.41,,false,,activities/105938289.fit.gz,85.0,,2102.0,2028.0,6413.7998046875,4.5,,53.90999984741211,,1.100000023841858,29.200000762939453,0.0,-0.015591399744153023,,,,,,,,,688.662841796875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
97416921,"Nov 26, 2013, 3:25:03 AM",Walk with the dogs,Walk,"",1061,1.82,,,,activities/106451882.fit.gz,85.0,,1061.0,1061.0,1825.800048828125,3.4000000953674316,,0.0,,6.800000190734863,12.899999618530273,3.0999999046325684,-0.01643119938671589,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
97417439,"Nov 27, 2013, 6:43:30 AM",Walk with the dogs,Walk,"",1353,1.84,,,,activities/106452464.fit.gz,85.0,,1353.0,1353.0,1847.300048828125,1.7000000476837158,,0.0,,6.599999904632568,12.600000381469727,3.0,0.005413310136646032,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
97447499,"Nov 28, 2013, 1:57:53 AM","11/28/2013 South Brisbane, QLD, Australia",Run,"",2489,7.01,,false,,activities/106486273.fit.gz,85.0,,2489.0,2463.0,7011.0,6.199999809265137,,99.21520233154297,,2.0,30.899999618530273,0.0,0.004278989974409342,,,,,,,,,763.2418823242188,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,243438.0,,,,,,
97617980,"Nov 29, 2013, 1:58:50 AM","11/29/2013 South Brisbane, QLD, Australia",Run,"",1763,5.45,,false,,activities/106674806.fit.gz,85.0,,1763.0,1763.0,5452.89990234375,9.699999809265137,,19.059999465942383,,1.5,21.5,0.0,0.011003299616277218,,,,,,,,,575.0658569335938,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
98198120,"Dec 2, 2013, 1:57:32 AM","12/02/2013 South Brisbane, QLD, Australia",Run,"",2214,7.15,,false,,activities/107333562.fit.gz,85.0,,2214.0,2195.0,7149.2001953125,7.099999904632568,,123.04000091552734,,1.2999999523162842,35.5,0.0,-0.0027975200209766626,,,,,,,,,772.6099853515625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
98374513,"Dec 3, 2013, 1:56:56 AM",12/03/2013 Garmin Fail AGAIN,Run,6.4km run in 33 min,1980,1.91,,false,,activities/107541603.fit.gz,85.0,,1980.0,1971.0,1909.0,5.0,,0.0,,,,0.0,0.0,,,,,,,,,199.37176513671875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
98375234,"Dec 2, 2013, 1:56:00 AM",12/03/2013 Manual Entry,Run,"",1971,6.40,,false,,,85.0,,1971.0,1971.0,6400.0,,,,,,,0.0,0.0,,,,,,,,,668.4019165039062,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
98577638,"Dec 4, 2013, 2:04:59 AM","12/04/2013 South Brisbane, QLD, Australia",Run,"",1707,5.41,,false,,activities/107767211.fit.gz,85.0,,1707.0,1707.0,5412.7998046875,5.5,,19.440000534057617,,1.2000000476837158,21.600000381469727,0.0,-0.016627300530672073,,,,,,,,,569.3426513671875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
98737829,"Dec 5, 2013, 6:37:41 AM",Run Commute,Run,"",5333,13.23,,false,,activities/107940593.fit.gz,76.80000305175781,,5333.0,4901.0,13236.2001953125,3.799999952316284,,130.4600067138672,,3.200000047683716,34.20000076293945,0.0,-0.025687100365757942,,,,,,,,,1262.260498046875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100052069,"Dec 10, 2013, 12:43:37 AM","12/10/2013 Sydney, NSW, Australia",Run,Lunch run with Marty,2319,7.22,,false,,activities/109412578.fit.gz,85.0,,2319.0,2319.0,7219.89990234375,6.900000095367432,,94.13999938964844,,0.0,53.79999923706055,0.0,-0.45014500617980957,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100261170,"Dec 15, 2013, 6:20:04 AM",12/15/2013 Sunday Soccer Training,Run,Sunday Soccer Training,4395,4.77,,false,,activities/109645402.fit.gz,82.0,,4395.0,1899.0,4770.10009765625,4.900000095367432,,0.0,,23.0,26.899999618530273,0.0,-0.0020963898859918118,,,,,,,,,480.93853759765625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,256009.0,,,,,,
100611121,"Dec 17, 2013, 1:57:11 AM","12/17/2013 South Brisbane, QLD, Australia",Run,"",2230,5.19,,false,,activities/110033137.fit.gz,85.0,,2230.0,2228.0,5193.2998046875,6.699999809265137,,100.46600341796875,,2.0,48.400001525878906,0.0,0.7355629801750183,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100611169,"Dec 17, 2013, 9:11:28 AM","12/17/2013 Wynnum, Circuit Training",Run,"",1454,2.28,,false,,activities/110033192.fit.gz,85.0,,1454.0,738.0,2279.199951171875,3.9000000953674316,,0.0,,0.30000001192092896,9.800000190734863,0.0,-0.017550000920891762,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100757227,"Dec 18, 2013, 1:50:57 AM","12/18/2013 South Brisbane, QLD, Australia",Run,"",3580,10.71,,false,,activities/110190847.fit.gz,77.0,,3580.0,3577.0,10718.900390625,5.400000095367432,,125.19999694824219,,2.0,41.599998474121094,0.0,-0.011195199564099312,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100906992,"Dec 19, 2013, 2:01:22 AM","12/19/2013 South Brisbane, QLD, Australia",Run,"",1742,5.37,,false,,activities/110338005.fit.gz,82.0,,1742.0,1713.0,5369.39990234375,6.0,,21.299999237060547,,2.4000000953674316,19.899999618530273,0.0,-0.024211300536990166,,,,,,,,,543.9285278320312,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100909868,"Dec 16, 2013, 2:00:06 AM","12/16/2013 South Brisbane, QLD, Australia",Run,"",2181,6.81,,false,,activities/110341123.tcx.gz,82.0,,2181.0,2178.0,6813.10009765625,8.0,,109.94000244140625,,0.699999988079071,40.0,24.0,-0.005871039815247059,,,,,,,,,713.4534301757812,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
100909921,"Dec 19, 2013, 7:26:37 AM","12/19/2013 Brisbane, Run with the Doggies",Run,"",711,1.72,,false,,activities/110341179.fit.gz,82.0,,711.0,711.0,1728.5999755859375,3.9000000953674316,,0.0,,6.800000190734863,12.899999618530273,0.0,0.02314010076224804,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
101041148,"Dec 20, 2013, 6:57:45 AM","12/20/2013 Murarrie, QLD, Australia",Run,Running with a back pack sucks!!,1349,4.01,,false,,activities/110479153.fit.gz,82.0,,1349.0,1276.0,4012.10009765625,3.9000000953674316,,24.440000534057617,,3.200000047683716,17.799999237060547,0.0,0.02990950085222721,,,,,,,,,406.9967956542969,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,226417.0,,,,,,
